"Född i Sverige eller utlandet 2008-2015"

"Område","Ålder","Kön","Född i Sverige 2008","Född i Sverige 2009","Född i Sverige 2010","Född i Sverige 2011","Född i Sverige 2012","Född i Sverige 2013","Född i Sverige 2014","Född i Sverige 2015","Född i utlandet 2008","Född i utlandet 2009","Född i utlandet 2010","Född i utlandet 2011","Född i utlandet 2012","Född i utlandet 2013","Född i utlandet 2014","Född i utlandet 2015"
"135 Majorna-Linné","85- år","Kvinna",982,949,930,894,870,806,773,755,87,96,96,88,89,87,98,92
"136 Askim-Frölunda-Högsbo","0 år","Man",305,348,363,331,325,331,362,360,..,..,..,..,..,..,..,..
"136 Askim-Frölunda-Högsbo","0 år","Kvinna",308,332,319,317,310,312,319,309,..,..,..,..,..,..,..,..
"136 Askim-Frölunda-Högsbo","1-5 år","Man",1436,1477,1565,1656,1685,1710,1757,1786,76,65,52,54,48,60,63,71
"136 Askim-Frölunda-Högsbo","1-5 år","Kvinna",1388,1426,1474,1537,1591,1610,1618,1666,60,53,66,66,54,52,44,53
"136 Askim-Frölunda-Högsbo","6-15 år","Man",2489,2440,2420,2487,2596,2679,2721,2881,233,220,243,253,285,296,294,278
"136 Askim-Frölunda-Högsbo","6-15 år","Kvinna",2478,2439,2398,2396,2472,2544,2649,2779,211,208,208,217,252,251,261,251
"136 Askim-Frölunda-Högsbo","16-18 år","Man",908,887,888,819,760,712,737,736,88,81,78,82,93,112,122,119
"136 Askim-Frölunda-Högsbo","16-18 år","Kvinna",834,860,867,835,771,736,701,680,85,65,70,83,91,88,86,91
"136 Askim-Frölunda-Högsbo","19-24 år","Man",1607,1753,1825,1862,1885,1887,1846,1785,400,360,336,299,264,279,335,338
"136 Askim-Frölunda-Högsbo","19-24 år","Kvinna",1659,1725,1802,1811,1917,1934,1916,1856,338,323,316,314,296,288,283,306
"136 Askim-Frölunda-Högsbo","25-44 år","Man",5781,5711,5693,5674,5710,5889,6050,6107,1635,1695,1753,1851,1880,1933,1980,2109
"136 Askim-Frölunda-Högsbo","25-44 år","Kvinna",5574,5539,5524,5520,5544,5659,5717,5840,1703,1722,1808,1921,2005,2042,2155,2213
"136 Askim-Frölunda-Högsbo","45-64 år","Man",5109,5062,5088,5066,5009,5064,5081,5131,1077,1131,1213,1254,1341,1394,1424,1476
"136 Askim-Frölunda-Högsbo","45-64 år","Kvinna",5407,5339,5352,5357,5329,5365,5370,5339,1135,1186,1253,1328,1382,1471,1519,1592
"136 Askim-Frölunda-Högsbo","65-74 år","Man",1864,1953,2065,2132,2244,2248,2326,2311,356,352,345,340,343,365,369,381
"136 Askim-Frölunda-Högsbo","65-74 år","Kvinna",2421,2557,2619,2712,2815,2885,2908,2897,354,350,368,358,377,393,421,429
"136 Askim-Frölunda-Högsbo","75-84 år","Man",1419,1378,1353,1354,1363,1406,1381,1388,170,180,198,219,224,229,241,254
"136 Askim-Frölunda-Högsbo","75-84 år","Kvinna",2151,2098,2014,1989,2023,1994,2014,2041,314,313,327,326,337,339,336,333
"136 Askim-Frölunda-Högsbo","85- år","Man",553,605,608,611,588,589,593,577,35,45,49,47,49,50,59,66
"136 Askim-Frölunda-Högsbo","85- år","Kvinna",1158,1176,1187,1200,1175,1163,1169,1154,93,99,110,126,129,141,141,159
"137 Västra Göteborg","0 år","Man",288,324,303,325,322,290,318,273,..,..,..,..,..,..,5,7
"137 Västra Göteborg","0 år","Kvinna",272,300,314,246,295,291,281,288,..,..,..,..,..,..,..,..
"137 Västra Göteborg","1-5 år","Man",1551,1591,1668,1749,1838,1865,1812,1796,56,60,74,69,66,72,73,75
"137 Västra Göteborg","1-5 år","Kvinna",1453,1454,1513,1615,1645,1697,1739,1710,66,63,62,75,80,69,67,71
"137 Västra Göteborg","6-15 år","Man",3325,3210,3197,3177,3141,3225,3322,3436,247,257,256,293,283,278,291,291
"137 Västra Göteborg","6-15 år","Kvinna",3034,2971,2906,2856,2882,2921,2990,3130,280,298,286,297,284,313,320,307
"137 Västra Göteborg","16-18 år","Man",1149,1167,1115,1059,1006,942,947,893,112,115,107,104,111,120,138,128
"137 Västra Göteborg","16-18 år","Kvinna",1076,1093,1063,1002,944,878,869,788,104,94,84,100,98,107,119,126
"137 Västra Göteborg","19-24 år","Man",1678,1710,1717,1758,1793,1696,1714,1668,303,278,245,252,260,268,239,275
"137 Västra Göteborg","19-24 år","Kvinna",1380,1467,1501,1581,1608,1631,1621,1574,275,255,260,255,242,232,227,214
